InvoiceNo,CustomerID,ProductID,ProductName,Category,Brand,Quantity,UnitPrice,InvoiceDate,Country,Revenue
INV200199,10278,7514,Product_237,Fashion,Nike,6,151.99,09-01-2023 07:00,UK,911.94
INV200200,10485,6775,Product_219,Grocery,Samsung,2,415.7,09-01-2023 08:00,France,831.4
INV200201,10909,3457,Product_188,Accessories,Samsung,4,95.09,09-01-2023 09:00,India,380.36
INV200202,10626,2560,Product_39,Fashion,LG,5,108.21,09-01-2023 10:00,UK,541.05
INV200203,10609,4923,Product_44,Beauty,Philips,2,483.25,09-01-2023 11:00,Germany,966.5
INV200204,10693,9041,Product_179,Home,Loreal,5,36.49,09-01-2023 12:00,India,182.45
INV200205,10852,2002,Product_136,Electronics,Apple,5,451.41,09-01-2023 13:00,India,2257.05
INV200206,10010,9139,Product_121,Grocery,Apple,3,225.57,09-01-2023 14:00,USA,676.71
INV200207,10096,4698,Product_238,Beauty,LG,3,470.39,09-01-2023 15:00,France,1411.17
INV200208,10183,6571,Product_82,Fashion,Philips,7,189.81,09-01-2023 16:00,Germany,1328.67
INV200209,10317,5133,Product_175,Accessories,Adidas,6,150.37,09-01-2023 17:00,USA,902.22
INV200210,10568,1411,Product_190,Home,Sony,6,16.84,09-01-2023 18:00,India,101.04
INV200211,10729,5082,Product_266,Beauty,Apple,4,279.08,09-01-2023 19:00,UK,1116.32
INV200212,10405,7233,Product_112,Beauty,LG,3,39.38,09-01-2023 20:00,UK,118.14
INV200213,10231,8097,Product_296,Beauty,Philips,5,217.1,09-01-2023 21:00,USA,1085.5
INV200214,10096,2912,Product_57,Grocery,Sony,2,337.22,09-01-2023 22:00,India,674.44
INV200215,10505,9590,Product_37,Accessories,Samsung,3,202.82,09-01-2023 23:00,India,608.46
INV200216,10979,9135,Product_54,Beauty,Samsung,5,426.42,10-01-2023 00:00,USA,2132.1
INV200217,10025,8852,Product_162,Home,LG,2,124.24,10-01-2023 01:00,UK,248.48
INV200218,10497,3043,Product_167,Home,Nike,7,186.29,10-01-2023 02:00,Germany,1304.03
INV200219,10910,6695,Product_204,Accessories,Nike,3,382.96,10-01-2023 03:00,USA,1148.88
INV200220,10141,2656,Product_257,Fashion,Apple,5,424.49,10-01-2023 04:00,USA,2122.45
INV200221,10212,1055,Product_90,Accessories,Loreal,2,248.58,10-01-2023 05:00,France,497.16
INV200222,10628,5233,Product_108,Fashion,Adidas,3,127.54,10-01-2023 06:00,Germany,382.62
INV200223,10811,6881,Product_56,Fashion,Samsung,5,348.43,10-01-2023 07:00,UK,1742.15
INV200224,10646,4598,Product_247,Electronics,Nike,5,169.32,10-01-2023 08:00,Germany,846.6
INV200225,10717,8373,Product_221,Fashion,Nike,5,444.18,10-01-2023 09:00,UK,2220.9
INV200226,10696,8224,Product_97,Grocery,Samsung,7,292.87,10-01-2023 10:00,USA,2050.09
INV200227,10955,8879,Product_226,Beauty,Nike,6,158.6,10-01-2023 11:00,France,951.6
INV200228,10911,8760,Product_128,Accessories,Nike,1,192.85,10-01-2023 12:00,UK,192.85
INV200229,10536,9647,Product_211,Grocery,Nike,4,234.36,10-01-2023 13:00,USA,937.44
INV200230,10137,7352,Product_57,Beauty,Loreal,1,387.32,10-01-2023 14:00,France,387.32
INV200231,10450,5627,Product_8,Beauty,Samsung,1,84.86,10-01-2023 15:00,India,84.86
INV200232,10199,3195,Product_115,Electronics,Adidas,2,66.57,10-01-2023 16:00,India,133.14
INV200233,10821,9380,Product_32,Accessories,Nike,7,113.84,10-01-2023 17:00,France,796.88
INV200234,10325,9570,Product_211,Home,Adidas,6,375.62,10-01-2023 18:00,India,2253.72
INV200235,10420,5547,Product_65,Fashion,LG,4,429.05,10-01-2023 19:00,Germany,1716.2
INV200236,10869,4359,Product_279,Electronics,Samsung,7,468.06,10-01-2023 20:00,USA,3276.42
INV200237,10760,8265,Product_175,Grocery,Loreal,4,95.71,10-01-2023 21:00,India,382.84
INV200238,10021,1655,Product_89,Accessories,Sony,4,172.23,10-01-2023 22:00,France,688.92
INV200239,10296,3117,Product_171,Beauty,LG,2,340.53,10-01-2023 23:00,France,681.06
INV200240,10077,5021,Product_277,Fashion,LG,1,77.13,11-01-2023 00:00,UK,77.13
INV200241,10219,8428,Product_135,Grocery,Sony,4,358.26,11-01-2023 01:00,Germany,1433.04
INV200242,10689,9539,Product_85,Electronics,Apple,6,211.64,11-01-2023 02:00,France,1269.84
INV200243,10369,7786,Product_207,Fashion,Adidas,1,26.38,11-01-2023 03:00,France,26.38
INV200244,10303,9191,Product_299,Grocery,LG,2,16.04,11-01-2023 04:00,USA,32.08
INV200245,10461,5697,Product_18,Electronics,Samsung,4,281.9,11-01-2023 05:00,France,1127.6
INV200246,10424,4870,Product_79,Grocery,Apple,4,76.92,11-01-2023 06:00,USA,307.68
INV200247,10462,2397,Product_130,Fashion,LG,4,418.61,11-01-2023 07:00,Germany,1674.44
INV200248,10557,5436,Product_93,Grocery,Apple,5,38.96,11-01-2023 08:00,USA,194.8
INV200249,10855,6325,Product_277,Beauty,LG,1,247.23,11-01-2023 09:00,France,247.23
INV200250,10656,3402,Product_1,Accessories,LG,2,262.11,11-01-2023 10:00,USA,524.22
INV200251,10924,5540,Product_116,Electronics,Samsung,5,347.8,11-01-2023 11:00,France,1739
INV200252,10234,3923,Product_7,Beauty,LG,2,374.07,11-01-2023 12:00,Germany,748.14
INV200253,10557,7001,Product_257,Home,LG,3,108.02,11-01-2023 13:00,Germany,324.06
INV200254,10451,6938,Product_111,Electronics,Nike,4,24.93,11-01-2023 14:00,India,99.72
INV200255,10884,8879,Product_70,Grocery,Loreal,4,412.83,11-01-2023 15:00,France,1651.32
INV200256,10322,9199,Product_1,Grocery,Philips,1,160.04,11-01-2023 16:00,India,160.04
INV200257,10974,8411,Product_91,Fashion,LG,4,186.06,11-01-2023 17:00,France,744.24
INV200258,10302,5569,Product_119,Fashion,Apple,7,95.88,11-01-2023 18:00,UK,671.16
INV200259,10384,2592,Product_23,Beauty,Nike,3,399.69,11-01-2023 19:00,USA,1199.07
INV200260,10413,7447,Product_268,Fashion,Loreal,7,150.18,11-01-2023 20:00,USA,1051.26
INV200261,10063,8986,Product_138,Fashion,Apple,7,74.05,11-01-2023 21:00,India,518.35
INV200262,10843,8321,Product_71,Fashion,Apple,1,131.26,11-01-2023 22:00,India,131.26
INV200263,10547,3213,Product_62,Accessories,Adidas,1,259.96,11-01-2023 23:00,UK,259.96
INV200264,10949,8965,Product_9,Accessories,Nike,1,457.25,12-01-2023 00:00,Germany,457.25
INV200265,10477,5815,Product_232,Home,Apple,1,373.57,12-01-2023 01:00,India,373.57
INV200266,10545,5876,Product_14,Home,Loreal,4,105.1,12-01-2023 02:00,France,420.4
INV200267,10642,9757,Product_171,Grocery,Sony,4,472.18,12-01-2023 03:00,UK,1888.72
INV200268,10468,7132,Product_160,Fashion,Apple,7,205.78,12-01-2023 04:00,Germany,1440.46
INV200269,10595,1841,Product_20,Accessories,Adidas,6,121.14,12-01-2023 05:00,USA,726.84
INV200270,10048,5028,Product_25,Grocery,Sony,6,393.92,12-01-2023 06:00,UK,2363.52
INV200271,10822,2139,Product_287,Fashion,Philips,4,192.2,12-01-2023 07:00,Germany,768.8
INV200272,10288,3037,Product_64,Grocery,Nike,5,89.7,12-01-2023 08:00,India,448.5
INV200273,10253,5676,Product_159,Accessories,Philips,4,273.91,12-01-2023 09:00,India,1095.64
INV200274,10668,8846,Product_190,Grocery,Philips,2,184.34,12-01-2023 10:00,Germany,368.68
INV200275,10055,8718,Product_172,Fashion,Sony,3,417.46,12-01-2023 11:00,Germany,1252.38
INV200276,10722,7048,Product_258,Beauty,Apple,6,409.29,12-01-2023 12:00,USA,2455.74
INV200277,10287,6967,Product_12,Beauty,Loreal,7,299.87,12-01-2023 13:00,USA,2099.09
INV200278,10028,9936,Product_273,Grocery,Philips,3,166.66,12-01-2023 14:00,France,499.98
INV200279,10222,8538,Product_125,Electronics,Adidas,6,218.59,12-01-2023 15:00,UK,1311.54
INV200280,10330,2646,Product_83,Home,Nike,2,89.95,12-01-2023 16:00,UK,179.9
INV200281,10136,8421,Product_67,Electronics,Apple,4,407.24,12-01-2023 17:00,UK,1628.96
INV200282,10109,4108,Product_138,Accessories,Samsung,1,421.72,12-01-2023 18:00,France,421.72
